"SYMBOL","ENTREZ_GENE_ID"
"TSPAN6",7105
"TNMD",64102
"DPM1",8813
"SCYL3",57147
"C1orf112",55732
"FUCA2",2519
"GCLC",2729
"NFYA",4800
"LAS1L",81887
"ENPP4",22875
"SEMA3F",6405
"ANKIB1",54467
"CYP51A1",1595
"KRIT1",889
"RAD52",5893
"BAD",572
"LAP3",51056
"MAD1L1",8379
"LASP1",3927
"SNX11",29916
"M6PR",4074
"KLHL13",90293
"CYP26B1",56603
"DBNDD1",79007
"ALS2",57679
"TFPI",7035
"NDUFAF7",55471
"RBM5",10181
"SLC7A2",6542
"ARF5",381
"SARM1",23098
"POLDIP2",26073
"PLXND1",23129
"AK2",204
"FKBP4",2288
"KDM1A",23028
"RBM6",10180
"RECQL",5965
"VPS50",55610
"ARHGAP33",115703
"NDUFAB1",4706
"SLC25A13",10165
"ST7",7982
"CDC27",996
"HCCS",3052
"DVL2",1856
"UPF1",5976
"SLC25A5",292
"MCUB",55013
"POLR2J",5439
"DHX33",56919
"MEOX1",4222
"THSD7A",221981
"LIG3",3980
"RPAP3",79657
"REXO5",81691
"CIAPIN1",57019
"SPPL2B",56928
"FAM214B",80256
"PRKAR2B",5577
"MSL3",10943
"CREBBP",1387
"TSPOAP1",9256
"GCFC2",6936
"WDR54",84058
"CROT",54677
"KMT2E",55904
"RHBDD2",57414
"SOX8",30812
"IBTK",25998
"ZNF195",7748
"MYCBP2",23077
"FBXL3",26224
"PDK2",5164
"ZFX",7543
"LAMP2",3920
"GDE1",51573
"REX1BD",55049
"CRLF1",9244
"OSBPL7",114881
"TMEM98",26022
"MAP3K14",9020
"TMEM132A",54972
"AP2B1",163
"TAC1",6863
"ZNF263",10127
"CX3CL1",6376
"SPATA20",64847
"CACNA1G",8913
"TNFRSF12A",51330
"MAP3K9",4293
"RALA",5898
"BAIAP2L1",55971
"KDM7A",80853
"ETV1",2115
"AGK",55750
"PHTF2",57157
"FARP2",9855
"GGCT",79017
"DBF4",10926
"IFRD1",3475
"COX10",1352
"GTF2IRD1",9569
"PAF1",54623
"VPS41",27072
"ELAC2",60528
"ARSD",414
"PNPLA4",8228
"ADIPOR2",79602
"MARK4",57787
"PROM1",8842
"CCDC124",115098
"CEACAM21",90273
"PAFAH1B1",5048
"KIAA0100",9703
"GAS7",8522
"TRAPPC6A",79090
"ST7L",54879
"TKTL1",8277
"PAX6",5080
"RPUSD1",113000
"RHBDF1",64285
"LUC7L",55692
"CACNA2D2",9254
"BAIAP3",8938
"TSR3",115939
"PIGQ",9091
"CRAMP1",57585
"TEAD3",7005
"DNAJC11",55735
"MYLIP",29116
"E2F2",1870
"PSMB1",5689
"JARID2",3720
"NADK",65220
"TFAP2B",7021
"CYTH3",9265
"ADAM22",53616
"SYPL1",6856
"CYB561",1534
"SPAG9",9043
"CELSR3",1951
"AASS",10157
"SS18L2",51188
"MPND",84954
"MGST1",4257
"CRY1",1407
"ST3GAL1",6482
"PKD1",5310
"MAPK8IP2",23542
"MED24",9862
"RHOBTB2",23221
"HEATR5B",54497
"SEC62",7095
"RPS20",6224
"CSDE1",7812
"UBE3C",9690
"REV3L",5980
"PAX7",5081
"MASP2",10747
"FAM76A",199870
"POMT2",29954
"VTA1",51534
"BAZ1B",9031
"RANBP9",10048
"SPRTN",83932
"EEF1AKNMT",51603
"DYRK4",8798
"ZNF207",7756
"UQCRC1",7384
"STARD3NL",83930
"CD9",928
"NCAPD2",9918
"IFFO1",25900
"PHF7",51533
"NISCH",11188
"FUZ",80199
"IDS",3423
"ZNF200",7752
"LRRC23",10233
"SCMH1",22955
"FYN",2534
"ELOA",6924
"LYPLA2",11313
"CLCN6",1185
"MRC2",9902
"TSPAN9",10867
"BTBD7",55727
"APBA3",9546
"MKS1",54903
"ABHD5",51099
"ANOS1",3730
"AKAP8L",26993
"MBTD1",54799
"UTP18",51096
"RNF216",54476
"TTC19",54902
"PTBP1",5725
"DPF1",8193
"SYT7",9066
"LARS2",23395
"PIK3C2A",5286
"PLAUR",5329
"ANLN",54443
"WIZ",58525
"RABGAP1",2844
"RABGAP1",23637
"DCN",1634
"QPCTL",54814
"PPP5C",5536
"CEP68",23177
"MAP4K3",8491
"TMEM159",57146
"GABRA3",2556
"BRCA1",672
"ERCC1",2067
"SEMA3B",7869
"MBTPS2",51360
"EXTL3",2137
"ELOVL5",60481
"KDM5D",8284
"CALCOCO1",57658
"UBR7",55148
"MAP4K5",11183
"EHD3",30845
"PSMC4",5704
"MAN2B2",23324
"SLC25A39",51629
"NUB1",51667
"PGM3",5238
"RWDD2A",112611
"CLK1",1195
"POLR3B",55703
"ANGEL1",23357
"RNF14",9604
"DNASE1L1",1774
"DDX11",1663
"HEBP1",50865
"TACC3",10460
"UFL1",23376
"POLA2",23649
"ZC3H3",23144
"CAPN1",823
"MDH1",4190
"SLC30A9",10463
"MTMR11",10903
"COX15",1355
"CCDC88C",440193
"YAF2",10138
"ZMYND11",10771
"BID",637
"MATR3",9782
"XYLT2",64132
"STMN4",81551
"NUDCD3",23386
"CHDH",55349
"GLT8D1",55830
"ATP2C1",27032
"RALBP1",10928
"RUFY3",22902
"WWTR1",25937
"AGPS",8540
"CXorf56",63932
"ATP1A2",477
"TTC27",55622
"ZNF582",147948
"PHLDB1",23187
"SYT13",57586
"SNAI2",6591
"HGF",3082
"ZRANB1",54764
"NCDN",23154
"ADGRA2",25960
"ZFP64",55734
"MNAT1",4331
"SAMD4A",23034
"MRE11",4361
"PLEKHB1",58473
"SERPINB1",1992
"SPAST",6683
"OSBPL5",114879
"AQR",9716
"CPS1",1373
"FHL1",2273
"RTF2",51507
"NLRP2",55655
"SLC45A4",57210
"RNF10",9921
"ZNF839",55778
"ZDHHC6",64429
"GRAMD1B",57476
"RNH1",6050
"NDUFS1",4719
"RB1CC1",9821
"ERP44",23071
"ALAS1",211
"AKAP11",11215
"GLRX2",51022
"SNAPC1",6617
"DERA",51071
"STRAP",11171
"PLEKHO1",51177
"GCLM",2730
"UBR2",23304
"DEPDC1",55635
"CCDC28A",25901
"RRAGD",58528
"HSF2",3298
"PHF20",51230
"NR1H3",10062
"NCAPH2",29781
"TOMM34",10953
"SEC63",11231
"KPNA6",23633
"VIM",7431
"FAS",355
"KCNG1",3755
"AGPAT4",56895
"BTN3A1",11119
"MIPEP",4285
"IFNGR1",3459
"B4GALT7",11285
"VRK2",7444
"TNFRSF1B",7133
"VEZT",55591
"BRD9",65980
"SNX1",6642
"TBPL1",9519
"ARNTL2",56938
"BCLAF1",9774
"SLC39A9",55334
"TFB1M",51106
"RABEP1",9135
"HMGB3",3149
"NUP160",23279
"BAK1",578
"GRN",2896
